,candidate,election_year,recipient_state,disbursement_amount
608,clinton_96,1996,NE,375.0
609,clinton_96,1996,DE,0.0
610,clinton_96,1996,NM,120.0
611,clinton_96,1996,AK,0.0
612,dole_96,1996,OH,1556.0
613,dole_96,1996,DC,10148317.0
614,dole_96,1996,CA,3153.0
615,dole_96,1996,OR,0.0
616,dole_96,1996,MA,1000.0
617,dole_96,1996,NV,0.0
618,dole_96,1996,WA,250.0
619,dole_96,1996,LA,0.0
620,dole_96,1996,TX,7606.0
621,dole_96,1996,IN,350.0
622,dole_96,1996,NY,2445.0
623,dole_96,1996,MI,1703.0
624,dole_96,1996,VT,0.0
625,dole_96,1996,NH,0.0
626,dole_96,1996,VA,3145.0
627,dole_96,1996,FL,3333.0
628,dole_96,1996,ME,462.0
629,dole_96,1996,MO,3750.0
630,dole_96,1996,WY,219.0
631,dole_96,1996,NJ,4100.0
632,dole_96,1996,PA,1403.0
633,dole_96,1996,MN,1270.0
634,dole_96,1996,ND,0.0
635,dole_96,1996,WV,0.0
636,dole_96,1996,KS,1612.0
637,dole_96,1996,CT,200.0
638,dole_96,1996,AZ,500.0
639,dole_96,1996,MD,50.0
640,dole_96,1996,MS,450.0
641,dole_96,1996,WI,0.0
642,dole_96,1996,GA,435.0
643,dole_96,1996,IL,5605.0
644,dole_96,1996,AL,923.0
645,dole_96,1996,CO,2333.0
646,dole_96,1996,RI,1000.0
647,dole_96,1996,UT,0.0
648,dole_96,1996,IA,1450.0
649,dole_96,1996,TN,0.0
650,dole_96,1996,NC,305.0
651,dole_96,1996,KY,400.0
652,dole_96,1996,OK,1550.0
653,dole_96,1996,MT,0.0
654,dole_96,1996,ID,0.0
655,dole_96,1996,HI,140.0
656,dole_96,1996,SD,0.0
657,dole_96,1996,SC,0.0
658,dole_96,1996,AR,0.0
659,dole_96,1996,NE,2158.0
660,dole_96,1996,DE,0.0
661,dole_96,1996,NM,0.0
662,dole_96,1996,AK,0.0
663,perot_96,1996,OH,1065.0
664,perot_96,1996,DC,0.0
665,perot_96,1996,CA,8139.0
666,perot_96,1996,OR,30.0
667,perot_96,1996,MA,4291.0
668,perot_96,1996,NV,150.0
669,perot_96,1996,WA,100.0
670,perot_96,1996,LA,1828.0
671,perot_96,1996,TX,1596.0
672,perot_96,1996,IN,294.0
673,perot_96,1996,NY,1289.0
674,perot_96,1996,MI,971.0
675,perot_96,1996,VT,0.0
676,perot_96,1996,NH,0.0
677,perot_96,1996,VA,1023.0
678,perot_96,1996,FL,1673.0
679,perot_96,1996,ME,2429.0
680,perot_96,1996,MO,700.0
681,perot_96,1996,WY,0.0
682,perot_96,1996,NJ,20.0
683,perot_96,1996,PA,1737.0
684,perot_96,1996,MN,100.0
685,perot_96,1996,ND,0.0
686,perot_96,1996,WV,0.0
687,perot_96,1996,KS,0.0
688,perot_96,1996,CT,195.0
689,perot_96,1996,AZ,443.0
690,perot_96,1996,MD,420.0
691,perot_96,1996,MS,0.0
692,perot_96,1996,WI,906.0
693,perot_96,1996,GA,75.0
694,perot_96,1996,IL,485.0
695,perot_96,1996,AL,50.0
696,perot_96,1996,CO,250.0
697,perot_96,1996,RI,0.0
698,perot_96,1996,UT,0.0
699,perot_96,1996,IA,0.0
700,perot_96,1996,TN,0.0
701,perot_96,1996,NC,1261.0
702,perot_96,1996,KY,50.0
703,perot_96,1996,OK,0.0
704,perot_96,1996,MT,551.0
705,perot_96,1996,ID,15.0
706,perot_96,1996,HI,112.0
707,perot_96,1996,SD,0.0
708,perot_96,1996,SC,759.0
709,perot_96,1996,AR,0.0
710,perot_96,1996,NE,0.0
711,perot_96,1996,DE,0.0
712,perot_96,1996,NM,0.0
713,perot_96,1996,AK,547.0
714,bush_00,2000,OH,2050.0
715,bush_00,2000,DC,5650.0
716,bush_00,2000,CA,31145.0
717,bush_00,2000,OR,500.0
718,bush_00,2000,MA,3100.0
719,bush_00,2000,NV,2000.0
720,bush_00,2000,WA,3050.0
721,bush_00,2000,LA,1500.0
722,bush_00,2000,TX,60850.0
723,bush_00,2000,IN,0.0
724,bush_00,2000,NY,23400.0
725,bush_00,2000,MI,1500.0
726,bush_00,2000,VT,0.0
727,bush_00,2000,NH,150.0
728,bush_00,2000,VA,10706.0
729,bush_00,2000,FL,10850.0
730,bush_00,2000,ME,0.0
731,bush_00,2000,MO,4100.0
732,bush_00,2000,WY,0.0
733,bush_00,2000,NJ,4000.0
734,bush_00,2000,PA,7450.0
735,bush_00,2000,MN,1000.0
736,bush_00,2000,ND,0.0
737,bush_00,2000,WV,0.0
738,bush_00,2000,KS,0.0
739,bush_00,2000,CT,7350.0
740,bush_00,2000,AZ,2000.0
741,bush_00,2000,MD,5025.0
742,bush_00,2000,MS,6000.0
743,bush_00,2000,WI,0.0
744,bush_00,2000,GA,4876.0
745,bush_00,2000,IL,8350.0
746,bush_00,2000,AL,3250.0
747,bush_00,2000,CO,3000.0
748,bush_00,2000,RI,100.0
749,bush_00,2000,UT,1000.0
750,bush_00,2000,IA,1000.0
751,bush_00,2000,TN,2150.0
752,bush_00,2000,NC,1000.0
753,bush_00,2000,KY,0.0
754,bush_00,2000,OK,2000.0
755,bush_00,2000,MT,1000.0
756,bush_00,2000,ID,750.0
757,bush_00,2000,HI,1000.0
758,bush_00,2000,SD,0.0
759,bush_00,2000,SC,2100.0
760,bush_00,2000,AR,0.0
761,bush_00,2000,NE,1000.0
762,bush_00,2000,DE,1000.0
763,bush_00,2000,NM,1250.0
764,bush_00,2000,AK,1000.0
765,gore_00,2000,OH,2000.0
766,gore_00,2000,DC,3000.0
767,gore_00,2000,CA,7000.0
768,gore_00,2000,OR,0.0
769,gore_00,2000,MA,3250.0
770,gore_00,2000,NV,0.0
771,gore_00,2000,WA,2000.0
772,gore_00,2000,LA,0.0
773,gore_00,2000,TX,1250.0
774,gore_00,2000,IN,0.0
775,gore_00,2000,NY,14000.0
