Table with row headers in column A and column headers in rows 5 through 7,,,,,,,,,,,,,,
"Number of Firms, Number of Establishments, Employment, and Annual Payroll by Enterprise Employment Size for the United States and States, Totals:  2017",,,,,,,,,, release date: 03/06/2020,,,,
,,,,,,,,,,,,,,
"SOURCE: 2017 County Business Patterns.  For information on confidentiality protection, sampling error, and nonsampling error, see https://www.census.gov/programs-surveys/susb/technical-documentation/methodology.html.",,,,,,,,,,,,,,
"For definitions, see https://www.census.gov/programs-surveys/susb/about/glossary.html.",,,,,,,,,,,,,,
The Census Bureau has reviewed this data product for unauthorized disclosure of confidential information and has approved the disclosure avoidance practices applied (Approval ID: CBDRB-FY19-460).,,,,,,,,,,,,,,
FIPS  CODE,GEOGRAPHIC AREA DESCRIPTION,ENTERPRISE EMPLOYMENT SIZE,NUMBER OF FIRMS,NUMBER OF ESTABLISHMENTS,EMPLOYMENT,EMPLOYMENT NOISE FLAG,"ANNUAL PAYROLL ($1,000)",ANNUAL PAYROLL NOISE FLAG,,,,,,
16,Idaho,09:  500+,"1,369","6,262","252,840",G,"12,057,217",G,,,,,,
17,Illinois,01:  Total,"256,497","321,135","5,497,629",G,"301,443,641",G,,,,,,
17,Illinois,02:  <5,"158,363","158,537","242,685",G,"11,482,711",G,,,,,,
17,Illinois,03:  5-9,"38,998","39,397","256,328",G,"10,388,341",G,,,,,,
17,Illinois,04:  10-19,"24,579","25,636","327,945",G,"14,189,242",G,,,,,,
17,Illinois,05:  <20,"221,940","223,570","826,958",G,"36,060,294",G,,,,,,
17,Illinois,06:  20-99,"23,552","29,787","882,411",G,"42,001,592",G,,,,,,
17,Illinois,07:  100-499,"6,175","15,317","767,589",G,"42,194,395",G,,,,,,
17,Illinois,08:  <500,"251,667","268,674","2,476,958",G,"120,256,281",G,,,,,,
17,Illinois,09:  500+,"4,830","52,461","3,020,671",G,"181,187,360",G,,,,,,
18,Indiana,01:  Total,"109,706","148,377","2,779,124",G,"122,892,875",G,,,,,,
18,Indiana,02:  <5,"59,564","59,665","101,293",G,"3,841,041",G,,,,,,
18,Indiana,03:  5-9,"19,198","19,395","126,614",G,"4,197,817",G,,,,,,
18,Indiana,04:  10-19,"12,621","13,257","169,021",G,"5,855,396",G,,,,,,
18,Indiana,05:  <20,"91,383","92,317","396,928",G,"13,894,254",G,,,,,,
18,Indiana,06:  20-99,"11,827","15,565","440,715",G,"16,858,340",G,,,,,,
18,Indiana,07:  100-499,"3,185","8,980","395,195",G,"17,132,734",G,,,,,,
18,Indiana,08:  <500,"106,395","116,862","1,232,838",G,"47,885,328",G,,,,,,
18,Indiana,09:  500+,"3,311","31,515","1,546,286",G,"75,007,547",G,,,,,,
19,Iowa,01:  Total,"63,200","82,685","1,353,681",G,"58,926,050",G,,,,,,
19,Iowa,02:  <5,"36,442","36,486","59,673",G,"2,225,682",G,,,,,,
19,Iowa,03:  5-9,"10,460","10,598","68,879",G,"2,247,445",G,,,,,,
19,Iowa,04:  10-19,"6,692","7,208","89,353",G,"3,070,490",G,,,,,,
19,Iowa,05:  <20,"53,594","54,292","217,905",G,"7,543,617",G,,,,,,
19,Iowa,06:  20-99,"5,973","8,856","219,483",G,"8,484,592",G,,,,,,
19,Iowa,07:  100-499,"1,668","5,881","212,408",G,"9,114,358",G,,,,,,
19,Iowa,08:  <500,"61,235","69,029","649,796",G,"25,142,567",G,,,,,,
19,Iowa,09:  500+,"1,965","13,656","703,885",G,"33,783,483",G,,,,,,
20,Kansas,01:  Total,"57,898","74,947","1,199,162",G,"52,754,605",G,,,,,,
20,Kansas,02:  <5,"32,503","32,537","54,579",G,"2,022,121",G,,,,,,
20,Kansas,03:  5-9,"9,710","9,828","63,890",G,"2,105,672",G,,,,,,
20,Kansas,04:  10-19,"6,080","6,428","80,987",G,"2,833,819",G,,,,,,
20,Kansas,05:  <20,"48,293","48,793","199,456",G,"6,961,612",G,,,,,,
20,Kansas,06:  20-99,"5,715","7,861","209,722",G,"7,991,942",G,,,,,,
20,Kansas,07:  100-499,"1,674","4,861","195,969",G,"8,565,627",G,,,,,,
20,Kansas,08:  <500,"55,682","61,515","605,147",G,"23,519,181",G,,,,,,
20,Kansas,09:  500+,"2,216","13,432","594,015",G,"29,235,424",G,,,,,,
21,Kentucky,01:  Total,"67,311","91,241","1,625,006",G,"67,733,358",G,,,,,,
21,Kentucky,02:  <5,"36,697","36,742","63,676",G,"2,276,652",G,,,,,,
21,Kentucky,03:  5-9,"11,834","11,935","78,105",G,"2,476,693",G,,,,,,
21,Kentucky,04:  10-19,"7,424","7,840","98,870",G,"3,263,086",G,,,,,,
21,Kentucky,05:  <20,"55,955","56,517","240,651",G,"8,016,431",G,,,,,,
21,Kentucky,06:  20-99,"6,888","9,333","251,727",G,"9,156,727",G,,,,,,
21,Kentucky,07:  100-499,"1,925","5,486","220,099",G,"9,054,299",G,,,,,,
21,Kentucky,08:  <500,"64,768","71,336","712,477",G,"26,227,457",G,,,,,,
21,Kentucky,09:  500+,"2,543","19,905","912,529",G,"41,505,901",G,,,,,,
22,Louisiana,01:  Total,"81,413","106,599","1,688,674",G,"75,415,899",G,,,,,,
22,Louisiana,02:  <5,"44,181","44,265","75,505",G,"3,164,347",G,,,,,,
22,Louisiana,03:  5-9,"14,676","14,843","96,630",G,"3,355,613",G,,,,,,
22,Louisiana,04:  10-19,"9,291","9,838","124,393",G,"4,511,628",G,,,,,,
22,Louisiana,05:  <20,"68,148","68,946","296,528",G,"11,031,588",G,,,,,,
22,Louisiana,06:  20-99,"8,829","11,619","334,739",G,"12,703,123",G,,,,,,
22,Louisiana,07:  100-499,"2,166","6,421","273,880",G,"12,562,214",G,,,,,,
22,Louisiana,08:  <500,"79,143","86,986","905,147",G,"36,296,925",G,,,,,,
22,Louisiana,09:  500+,"2,270","19,613","783,527",G,"39,118,974",G,,,,,,
23,Maine,01:  Total,"34,190","41,622","513,745",G,"22,349,651",G,,,,,,
23,Maine,02:  <5,"21,125","21,138","32,363",G,"1,355,278",G,,,,,,
23,Maine,03:  5-9,"5,350","5,402","35,206",G,"1,225,168",G,,,,,,
23,Maine,04:  10-19,"3,257","3,432","43,543",G,"1,526,247",G,,,,,,
23,Maine,05:  <20,"29,732","29,972","111,112",G,"4,106,693",G,,,,,,
23,Maine,06:  20-99,"2,670","3,814","97,595",G,"3,645,687",G,,,,,,
23,Maine,07:  100-499,654,"2,352","85,165",G,"3,536,470",G,,,,,,
23,Maine,08:  <500,"33,056","36,138","293,872",G,"11,288,850",G,,,,,,
23,Maine,09:  500+,"1,134","5,484","219,873",G,"11,060,801",G,,,,,,
24,Maryland,01:  Total,"109,974","139,446","2,335,479",G,"126,632,897",G,,,,,,
24,Maryland,02:  <5,"62,765","62,838","102,621",G,"4,979,979",G,,,,,,
24,Maryland,03:  5-9,"18,100","18,250","119,124",G,"5,099,398",G,,,,,,
24,Maryland,04:  10-19,"11,859","12,341","158,609",G,"6,996,929",G,,,,,,
