,State,Vote Share,candidate
459,AR,35.48,bush_92
460,CA,32.61,bush_92
461,CO,35.87,bush_92
462,CT,35.78,bush_92
463,DE,35.78,bush_92
464,DC,9.1,bush_92
465,GA,42.88,bush_92
466,HI,36.7,bush_92
467,IL,34.34,bush_92
468,IA,37.27,bush_92
469,KY,41.34,bush_92
470,LA,40.97,bush_92
471,ME,30.39,bush_92
472,MD,35.62,bush_92
473,MA,29.03,bush_92
474,MI,36.38,bush_92
475,MN,31.85,bush_92
476,MO,33.92,bush_92
477,MT,35.12,bush_92
478,NV,34.73,bush_92
479,NH,37.69,bush_92
480,NJ,40.58,bush_92
481,NM,37.34,bush_92
482,NY,33.88,bush_92
483,OH,38.35,bush_92
484,OR,32.53,bush_92
485,PA,36.13,bush_92
486,RI,29.02,bush_92
487,TN,42.43,bush_92
488,VT,30.42,bush_92
489,WA,31.97,bush_92
490,WV,35.39,bush_92
491,WI,36.78,bush_92
492,AL,47.65,bush_92
493,AK,39.46,bush_92
494,AZ,38.47,bush_92
495,FL,40.89,bush_92
496,ID,42.03,bush_92
497,IN,42.91,bush_92
498,KS,38.88,bush_92
499,MS,49.68,bush_92
500,NE,46.58,bush_92
501,NC,43.44,bush_92
502,ND,44.22,bush_92
503,OK,42.65,bush_92
504,SC,48.02,bush_92
505,SD,40.66,bush_92
506,TX,40.56,bush_92
507,UT,43.36,bush_92
508,VA,44.97,bush_92
509,WY,39.7,bush_92
510,AR,10.43,perot_92
511,CA,20.63,perot_92
512,CO,23.32,perot_92
513,CT,21.58,perot_92
514,DE,20.45,perot_92
515,DC,4.25,perot_92
516,GA,13.34,perot_92
517,HI,14.22,perot_92
518,IL,16.64,perot_92
519,IA,18.71,perot_92
520,KY,13.66,perot_92
521,LA,11.81,perot_92
522,ME,30.44,perot_92
523,MD,14.18,perot_92
524,MA,22.8,perot_92
525,MI,19.3,perot_92
526,MN,23.96,perot_92
527,MO,21.69,perot_92
528,MT,26.12,perot_92
529,NV,26.19,perot_92
530,NH,22.59,perot_92
531,NJ,15.61,perot_92
532,NM,16.12,perot_92
533,NY,15.75,perot_92
534,OH,20.98,perot_92
535,OR,24.21,perot_92
536,PA,18.2,perot_92
537,RI,23.16,perot_92
538,TN,10.09,perot_92
539,VT,22.78,perot_92
540,WA,23.68,perot_92
541,WV,15.91,perot_92
542,WI,21.51,perot_92
543,AL,10.85,perot_92
544,AK,28.43,perot_92
545,AZ,23.79,perot_92
546,FL,19.82,perot_92
547,ID,27.05,perot_92
548,IN,19.77,perot_92
549,KS,26.99,perot_92
550,MS,8.72,perot_92
551,NE,23.63,perot_92
552,NC,13.7,perot_92
553,ND,23.07,perot_92
554,OK,23.01,perot_92
555,SC,11.55,perot_92
556,SD,21.8,perot_92
557,TX,22.01,perot_92
558,UT,27.34,perot_92
559,VA,13.63,perot_92
560,WY,25.65,perot_92
561,AZ,46.52%,clinton_96
562,AR,53.74%,clinton_96
563,CA,51.10%,clinton_96
564,CT,52.83%,clinton_96
565,DE,51.80%,clinton_96
566,DC,85.19%,clinton_96
567,FL,48.02%,clinton_96
568,HI,56.93%,clinton_96
569,IL,54.32%,clinton_96
570,IA,50.26%,clinton_96
571,KY,45.84%,clinton_96
572,LA,52.01%,clinton_96
573,ME,51.62%,clinton_96
574,MD,54.25%,clinton_96
575,MA,61.47%,clinton_96
576,MI,51.69%,clinton_96
577,MN,51.10%,clinton_96
578,MO,47.54%,clinton_96
579,NV,43.93%,clinton_96
580,NH,49.32%,clinton_96
581,NJ,53.72%,clinton_96
582,NM,49.18%,clinton_96
583,NY,59.47%,clinton_96
584,OH,47.38%,clinton_96
585,OR,47.15%,clinton_96
586,PA,49.17%,clinton_96
587,RI,59.71%,clinton_96
588,TN,48.00%,clinton_96
589,VT,53.35%,clinton_96
590,WA,49.84%,clinton_96
591,WV,51.51%,clinton_96
592,WI,48.81%,clinton_96
593,AL,43.16%,clinton_96
594,AK,33.27%,clinton_96
595,CO,44.43%,clinton_96
596,GA,45.84%,clinton_96
597,ID,33.65%,clinton_96
598,IN,41.55%,clinton_96
599,KS,36.08%,clinton_96
600,MS,44.08%,clinton_96
601,MT,41.23%,clinton_96
602,NE,34.95%,clinton_96
603,NC,44.04%,clinton_96
604,ND,40.13%,clinton_96
605,OK,40.45%,clinton_96
606,SC,43.85%,clinton_96
607,SD,43.03%,clinton_96
608,TX,43.83%,clinton_96
609,UT,33.30%,clinton_96
610,VA,45.15%,clinton_96
611,WY,36.84%,clinton_96
612,AZ,44.29%,dole_96
613,AR,36.80%,dole_96
614,CA,38.21%,dole_96
615,CT,34.69%,dole_96
616,DE,36.58%,dole_96
617,DC,9.34%,dole_96
618,FL,42.32%,dole_96
619,HI,31.64%,dole_96
620,IL,36.81%,dole_96
621,IA,39.92%,dole_96
622,KY,44.88%,dole_96
623,LA,39.94%,dole_96
624,ME,30.76%,dole_96
625,MD,38.27%,dole_96
626,MA,28.09%,dole_96
627,MI,38.48%,dole_96
628,MN,34.96%,dole_96
629,MO,41.24%,dole_96
630,NV,42.91%,dole_96
631,NH,39.37%,dole_96
632,NJ,35.86%,dole_96
633,NM,41.86%,dole_96
634,NY,30.61%,dole_96
635,OH,41.02%,dole_96
636,OR,39.06%,dole_96
637,PA,39.97%,dole_96
638,RI,26.82%,dole_96
639,TN,45.59%,dole_96
640,VT,31.09%,dole_96
641,WA,37.30%,dole_96
642,WV,36.76%,dole_96
643,WI,38.48%,dole_96
644,AL,50.12%,dole_96
645,AK,50.80%,dole_96
646,CO,45.80%,dole_96
647,GA,47.01%,dole_96
648,ID,52.18%,dole_96
649,IN,47.13%,dole_96
650,KS,54.29%,dole_96
651,MS,49.21%,dole_96
652,MT,44.11%,dole_96
653,NE,53.65%,dole_96
654,NC,48.73%,dole_96
655,ND,46.94%,dole_96
656,OK,48.26%,dole_96
657,SC,49.89%,dole_96
658,SD,46.49%,dole_96
659,TX,48.76%,dole_96
660,UT,54.37%,dole_96
661,VA,47.10%,dole_96
662,WY,49.81%,dole_96
663,AZ,7.98%,perot_96
664,AR,7.90%,perot_96
665,CA,6.96%,perot_96
666,CT,10.02%,perot_96
667,DE,10.60%,perot_96
668,DC,1.94%,perot_96
669,FL,9.12%,perot_96
670,HI,7.60%,perot_96
671,IL,8.03%,perot_96
672,IA,8.52%,perot_96
673,KY,8.67%,perot_96
674,LA,6.91%,perot_96
675,ME,14.19%,perot_96
676,MD,6.50%,perot_96
677,MA,8.89%,perot_96
678,MI,8.75%,perot_96
679,MN,11.75%,perot_96
680,MO,10.06%,perot_96
681,NV,9.47%,perot_96
682,NH,9.69%,perot_96
683,NJ,8.52%,perot_96
684,NM,5.80%,perot_96
685,NY,7.97%,perot_96
686,OH,10.66%,perot_96
687,OR,8.80%,perot_96
688,PA,9.56%,perot_96
689,RI,11.20%,perot_96
690,TN,5.59%,perot_96
691,VT,12.00%,perot_96
692,WA,8.92%,perot_96
693,WV,11.26%,perot_96
694,WI,10.35%,perot_96
695,AL,6.01%,perot_96
696,AK,10.90%,perot_96
697,CO,6.59%,perot_96
698,GA,6.37%,perot_96
699,ID,12.71%,perot_96
700,IN,10.50%,perot_96
701,KS,8.62%,perot_96
702,MS,5.84%,perot_96
703,MT,13.56%,perot_96
704,NE,10.52%,perot_96
705,NC,6.68%,perot_96
706,ND,12.20%,perot_96
707,OK,10.84%,perot_96
708,SC,5.60%,perot_96
709,SD,9.65%,perot_96
710,TX,6.75%,perot_96
711,UT,9.98%,perot_96
712,VA,6.62%,perot_96
713,WY,12.25%,perot_96
714,CA,41.65%,gore_00
715,CT,38.44%,gore_00
716,DE,41.90%,gore_00
717,DC,8.95%,gore_00
718,HI,37.46%,gore_00
719,IL,42.58%,gore_00
720,IA,48.22%,gore_00
721,ME,43.97%,gore_00
722,MD,40.18%,gore_00
723,MA,32.50%,gore_00
724,MI,46.15%,gore_00
725,MN,45.50%,gore_00
726,NJ,40.29%,gore_00
727,NM,47.85%,gore_00
728,NY,35.23%,gore_00
729,OR,46.52%,gore_00
730,PA,46.43%,gore_00
731,RI,31.91%,gore_00
732,VT,40.70%,gore_00
733,WA,44.58%,gore_00
734,WI,47.61%,gore_00
735,AL,56.48%,gore_00
736,AK,58.62%,gore_00
737,AZ,51.02%,gore_00
738,AR,51.31%,gore_00
739,CO,50.75%,gore_00
740,FL,48.85%,gore_00
741,GA,54.67%,gore_00
742,ID,67.17%,gore_00
743,IN,56.65%,gore_00
744,KS,58.04%,gore_00
745,KY,56.50%,gore_00
746,LA,52.55%,gore_00
747,MS,57.62%,gore_00
748,MO,50.42%,gore_00
749,MT,58.44%,gore_00
750,NE,62.25%,gore_00
751,NV,49.52%,gore_00
752,NH,48.07%,gore_00
753,NC,56.03%,gore_00
754,ND,60.66%,gore_00
755,OH,49.97%,gore_00
756,OK,60.31%,gore_00
757,SC,56.84%,gore_00
758,SD,60.30%,gore_00
759,TN,51.15%,gore_00
760,TX,59.30%,gore_00
761,UT,66.83%,gore_00
762,VA,52.47%,gore_00
763,WV,51.92%,gore_00
764,WY,67.76%,gore_00
765,CA,53.45%,bush_00
766,CT,55.91%,bush_00
767,DE,54.96%,bush_00
768,DC,85.16%,bush_00
769,HI,55.79%,bush_00
770,IL,54.60%,bush_00
771,IA,48.54%,bush_00
772,ME,49.09%,bush_00
773,MD,56.57%,bush_00
774,MA,59.80%,bush_00
775,MI,51.28%,bush_00
776,MN,47.91%,bush_00
777,NJ,56.13%,bush_00
778,NM,47.91%,bush_00
779,NY,60.21%,bush_00
780,OR,46.96%,bush_00
781,PA,50.60%,bush_00
782,RI,60.99%,bush_00
783,VT,50.63%,bush_00
784,WA,50.16%,bush_00
785,WI,47.83%,bush_00
786,AL,41.57%,bush_00
787,AK,27.67%,bush_00
788,AZ,44.73%,bush_00
789,AR,45.86%,bush_00
790,CO,42.39%,bush_00
